,year,month,customer_type,monthly_usage,zip_code,geometry,latitude,longitude,geo
10220,2017.0,4,COMMERCIAL,488554.0,37212,"(36.133256, -86.801456)",36.133256,-86.80145,POINT (-86.80145 36.133256)
10221,2017.0,4,RESIDENTIAL,482396.0,37143,"(36.12259, -87.03587)",,-87.03587,POINT (-87.03587 nan)
10222,2017.0,4,COMMERCIAL,17487822.0,37086,"(36.014912, -86.5643)",36.014912,,POINT (nan 36.014912)
10223,2017.0,4,COMMERCIAL,118732.0,37219,"(36.167467, -86.783669)",36.167467,-86.78366,POINT (-86.78366 36.167467)
10224,2017.0,4,OUTDOOR LIGHTING,101217.0,37115,"(36.262567, -86.704171)",36.262567,-86.70417,POINT (-86.70417 36.262567)
10225,2017.0,4,RESIDENTIAL,3014931.0,37218,"(36.210699, -86.866798)",36.210699,-86.86679,POINT (-86.86678999999999 36.210699)
10226,2017.0,4,OUTDOOR LIGHTING,9675.0,37214,"(36.168995, -86.667231)",36.168995,-86.66723,POINT (-86.66723 36.168995)
10227,2017.0,4,COMMERCIAL,548000.0,37237,,,,POINT (nan nan)
10228,2017.0,4,SEASONAL CUSTOMER,0.0,37212,"(36.133256, -86.801456)",36.133256,-86.80145,POINT (-86.80145 36.133256)
10229,2017.0,4,COMMERCIAL,4132192.0,37215,"(36.091316, -86.827959)",36.091316,-86.82795,POINT (-86.82795 36.091316)
10230,2017.0,4,OUTDOOR LIGHTING,8043.0,37215,"(36.091316, -86.827959)",36.091316,-86.82795,POINT (-86.82795 36.091316)
10231,2017.0,4,COMMERCIAL,4767072.0,37228,"(36.193837, -86.803025)",36.193837,-86.80302,POINT (-86.80302 36.193837)
10232,2017.0,4,COMMERCIAL,867838.0,37013,"(36.049335, -86.641832)",36.049335,-86.64183,POINT (-86.64183 36.049335)
10233,2017.0,4,RESIDENTIAL,4458366.0,37221,"(36.064367, -86.96029)",36.064367,-86.96029,POINT (-86.96029 36.064367)
10234,2017.0,4,OUTDOOR LIGHTING,11875.0,37221,"(36.064367, -86.96029)",36.064367,-86.96029,POINT (-86.96029 36.064367)
10235,2017.0,4,COMMERCIAL,14044018.0,37208,"(36.176427, -86.805176)",36.176427,-86.80517,POINT (-86.80517 36.176427)
10236,2017.0,4,RESIDENTIAL,2093.0,37152,"(36.396526, -86.765833)",36.396526,-86.76583,POINT (-86.76582999999999 36.396526)
10237,2017.0,4,COMMERCIAL,23143502.0,37214,"(36.168995, -86.667231)",36.168995,-86.66723,POINT (-86.66723 36.168995)
10238,2017.0,4,COMMERCIAL,22163214.0,37138,"(36.239455, -86.611783)",36.239455,-86.61178,POINT (-86.61178 36.239455)
10239,2017.0,4,COMMERCIAL,58000.0,37069,"(35.985493, -86.899213)",35.985493,-86.89921,POINT (-86.89921 35.985493)
10240,2017.0,4,COMMERCIAL,12590118.0,37013,"(36.049335, -86.641832)",36.049335,-86.64183,POINT (-86.64183 36.049335)
